Idx,Book,Ref.,KJB Verse,KJB Word,Original,Transliteration,Definition
"11","Gen","Gen 15:15","And thou shalt go **to thy fathers[H1]** in peace; thou shalt be buried in a good old age","to thy fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"12","Gen","Gen 17:4","As for me, behold, my covenant **is with thee, and thou shalt be a father[H1]** of many nations","is with thee and thou shalt be a father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"13","Gen","Gen 17:5","Neither shall thy name any more be called Abram, but thy name shall be Abraham; **for a father[H1]** of many nations have I made thee","for a father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"14","Gen","Gen 19:31","And the firstborn said unto the younger, **Our father[H1]** is old, and there is not a man in the earth to come in unto us after the manner of all the earth","Our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"15","Gen","Gen 19:32","Come, let us make **our father[H1]** drink wine, and we will lie with him, that we may preserve seed **of our father[H1]**","our father, of our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"16","Gen","Gen 19:33","And they made **their father[H1]** drink wine that night: and the firstborn went in, and lay **with her father[H1]**; and he perceived not when she lay down, nor when she arose","their father, with her father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"17","Gen","Gen 19:34","And it came to pass on the morrow, that the firstborn said unto the younger, Behold, I lay yesternight **with my father[H1]**: let us make him drink wine this night also; and go thou in, and lie with him, that we may preserve seed **of our father[H1]**","with my father, of our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"18","Gen","Gen 19:35","And they made **their father[H1]** drink wine that night also: and the younger arose, and lay with him; and he perceived not when she lay down, nor when she arose","their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"19","Gen","Gen 19:36","Thus were both the daughters of Lot with child **by their father[H1]**","by their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"20","Gen","Gen 19:37","And the firstborn bare a son, and called his name Moab: the same **is the father[H1]** of the Moabites unto this day","is the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"21","Gen","Gen 19:38","And the younger, she also bare a son, and called his name Ben-ammi: **the same is the father[H1]** of the children of Ammon unto this day","the same is the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"22","Gen","Gen 20:12","And yet indeed she is my sister; she is the daughter **of my father[H1]**, but not the daughter of my mother; and she became my wife","of my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"23","Gen","Gen 20:13","And it came to pass, when God caused me to wander **from my father's[H1]** house, that I said unto her, This is thy kindness which thou shalt shew unto me; at every place whither we shall come, say of me, He is my brother","from my fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"24","Gen","Gen 22:7","And Isaac spake unto Abraham **his father[H1]**, and said, **My father[H1]**: and he said, Here am I, my son. And he said, Behold the fire and the wood: but where is the lamb for a burnt offering","his father, My father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"25","Gen","Gen 22:21","Huz his firstborn, and Buz his brother, and Kemuel **the father[H1]** of Aram","the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"26","Gen","Gen 24:7","¶ The LORD God of heaven, which took me **from my father's[H1]** house, and from the land of my kindred, and which spake unto me, and that sware unto me, saying, Unto thy seed will I give this land; he shall send his angel before thee, and thou shalt take a wife unto my son","from my fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"27","Gen","Gen 24:23","And said, Whose daughter art thou? tell me, I pray thee: is there room **in thy father's[H1]** house for us to lodge in","in thy fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"28","Gen","Gen 24:38","But thou shalt go **unto my father's[H1]** house, and to my kindred, and take a wife unto my son","unto my fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"29","Gen","Gen 24:40","And he said unto me, The LORD, before whom I walk, will send his angel with thee, and prosper thy way; and thou shalt take a wife for my son of my kindred, **and of my father's[H1]** house","and of my fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"30","Gen","Gen 26:3","Sojourn in this land, and I will be with thee, and will bless thee; for unto thee, and unto thy seed, I will give all these countries, and I will perform the oath which I sware unto Abraham **thy father[H1]**","thy father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"31","Gen","Gen 26:15","For all the wells **which his father's[H1]** servants had digged in the days of Abraham **his father[H1]**, the Philistines had stopped them, and filled them with earth","which his fathers, his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"32","Gen","Gen 26:18","And Isaac digged again the wells of water, which they had digged in the days of Abraham **his father[H1]**; for the Philistines had stopped them after the death of Abraham: and he called their names after the names by which **his father[H1]** had called","his father, his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"33","Gen","Gen 26:24","And the LORD appeared unto him the same night, and said, I am the God of Abraham **thy father[H1]**: fear not, for I am with thee, and will bless thee, and multiply thy seed for my servant Abraham's","thy father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"34","Gen","Gen 27:6","¶ And Rebekah spake unto Jacob her son, saying, Behold, I heard **thy father[H1]** speak unto Esau thy brother, saying","thy father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"35","Gen","Gen 27:9","Go now to the flock, and fetch me from thence two good kids of the goats; and I will make them savoury meat **for thy father[H1]**, such as he loveth","for thy father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"36","Gen","Gen 27:10","And thou shalt bring **it to thy father[H1]**, that he may eat, and that he may bless thee before his death","it to thy father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"37","Gen","Gen 27:12","**My father[H1]** peradventure will feel me, and I shall seem to him as a deceiver; and I shall bring a curse upon me, and not a blessing","My father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"38","Gen","Gen 27:14","And he went, and fetched, and brought them to his mother: and his mother made savoury meat, **such as his father[H1]** loved","such as his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"39","Gen","Gen 27:18","¶ And he came **unto his father[H1]**, and said, **My father[H1]**: and he said, Here am I; who art thou, my son","unto his father, My father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"40","Gen","Gen 27:19","And Jacob said **unto his father[H1]**, I am Esau thy firstborn; I have done according as thou badest me: arise, I pray thee, sit and eat of my venison, that thy soul may bless","unto his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"41","Gen","Gen 27:22","And Jacob went near unto Isaac **his father[H1]**; and he felt him, and said, The voice is Jacob's voice, but the hands are the hands of Esau","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"42","Gen","Gen 27:26","**And his father[H1]** Isaac said unto him, Come near now, and kiss me, my son","And his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"43","Gen","Gen 27:30","¶ And it came to pass, as soon as Isaac had made an end of blessing Jacob, and Jacob was yet scarce gone out from the presence of Isaac **his father[H1]**, that Esau his brother came in from his hunting","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"44","Gen","Gen 27:31","And he also had made savoury meat, and brought it **unto his father[H1]**, and said **unto his father[H1]**, **Let my father[H1]** arise, and eat of his son's venison, that thy soul may bless","unto his father, unto his father, Let my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"45","Gen","Gen 27:32","And Isaac **his father[H1]** said unto him, Who art thou? And he said, I am thy son, thy firstborn Esau","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"46","Gen","Gen 27:34","And when Esau heard the words **of his father[H1]**, he cried with a great and exceeding bitter cry, and said **unto his father[H1]**, Bless **me, even me also, O my father[H1]**","of his father, unto his father, me even me also O my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"47","Gen","Gen 27:38","And Esau said **unto his father[H1]**, Hast thou but one blessing, **my father[H1]**? bless **me, even me also, O my father[H1]**. And Esau lifted up his voice, and wept","unto his father, my father, me even me also O my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"48","Gen","Gen 27:39","And Isaac **his father[H1]** answered and said unto him, Behold, thy dwelling shall be the fatness of the earth, and of the dew of heaven from above","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"49","Gen","Gen 27:41","¶ And Esau hated Jacob because of the blessing wherewith **his father[H1]** blessed him: and Esau said in his heart, The days of mourning **for my father[H1]** are at hand; then will I slay my brother Jacob","his father, for my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"50","Gen","Gen 28:2","Arise, go to Padan-aram, to the house of Bethuel thy mother's **father[H1]**; and take thee a wife from thence of the daughters of Laban thy mother's brother","father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"51","Gen","Gen 28:7","And that Jacob obeyed **his father[H1]** and his mother, and was gone to Padan-aram","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"52","Gen","Gen 28:8","And Esau seeing that the daughters of Canaan pleased not Isaac **his father[H1]**","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"53","Gen","Gen 28:13","And, behold, the LORD stood above it, and said, I am the LORD God of Abraham **thy father[H1]**, and the God of Isaac: the land whereon thou liest, to thee will I give it, and to thy seed","thy father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"54","Gen","Gen 28:21","So that I come again **to my father's[H1]** house in peace; then shall the LORD be my God","to my fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"55","Gen","Gen 29:9","¶ And while he yet spake with them, Rachel came **with her father's[H1]** sheep: for she kept them","with her fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"56","Gen","Gen 29:12","And Jacob told Rachel **that he was her father's[H1]** brother, and that he was Rebekah's son: and she ran and told **her father[H1]**","that he was her fathers, her father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"57","Gen","Gen 31:1","¶ And he heard the words of Laban's sons, saying, Jacob hath taken away **all that was our father's[H1]**; **and of that which was our father's[H1]** hath he gotten all this glory","all that was our fathers, and of that which was our fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"58","Gen","Gen 31:3","And the LORD said unto Jacob, Return unto the land **of thy fathers[H1]**, and to thy kindred","of thy fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"59","Gen","Gen 31:5","And said unto them, I see **your father's[H1]** countenance, that it is not toward me as before; but the God **of my father[H1]** hath been","your fathers, of my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"60","Gen","Gen 31:6","And ye know that with all my power I have served **your father[H1]**","your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"61","Gen","Gen 31:7","**And your father[H1]** hath deceived me, and changed my wages ten times; but God suffered him not to hurt me","And your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"62","Gen","Gen 31:9","Thus God hath taken away the cattle **of your father[H1]**, and given","of your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"63","Gen","Gen 31:14","And Rachel and Leah answered and said unto him, Is there yet any portion or inheritance **for us in our father's[H1]** house","for us in our fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"64","Gen","Gen 31:16","For all the riches which God hath taken **from our father[H1]**, that is ours, and our children's: now then, whatsoever God hath said unto thee, do","from our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"65","Gen","Gen 31:18","And he carried away all his cattle, and all his goods which he had gotten, the cattle of his getting, which he had gotten in Padan-aram, for to go to Isaac **his father[H1]** in the land of Canaan","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"66","Gen","Gen 31:19","And Laban went to shear his sheep: and Rachel had stolen the images **that were her father's[H1]**","that were her fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"67","Gen","Gen 31:29","It is in the power of my hand to do you hurt: but the God **of your father[H1]** spake unto me yesternight, saying, Take thou heed that thou speak not to Jacob either good or bad","of your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"68","Gen","Gen 31:30","And now, though thou wouldest needs be gone, because thou sore longedst **after thy father's[H1]** house, yet wherefore hast thou stolen my gods","after thy fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"69","Gen","Gen 31:35","And she said **to her father[H1]**, Let it not displease my lord that I cannot rise up before thee; for the custom of women is upon me. And he searched, but found not the images","to her father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"70","Gen","Gen 31:42","Except the God **of my father[H1]**, the God of Abraham, and the fear of Isaac, had been with me, surely thou hadst sent me away now empty. God hath seen mine affliction and the labour of my hands, and rebuked thee yesternight","of my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"71","Gen","Gen 31:53","The God of Abraham, and the God of Nahor, the God **of their father[H1]**, judge betwixt us. And Jacob sware by the fear **of his father[H1]** Isaac","of their father, of his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"72","Gen","Gen 32:9","¶ And Jacob said, O God **of my father[H1]** Abraham, and God **of my father[H1]** Isaac, the LORD which saidst unto me, Return unto thy country, and to thy kindred, and I will deal well","of my father, of my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"73","Gen","Gen 33:19","And he bought a parcel of a field, where he had spread his tent, at the hand of the children of Hamor, Shechem's **father[H1]**, for an hundred pieces of money","father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"74","Gen","Gen 34:4","And Shechem spake **unto his father[H1]** Hamor, saying, Get me this damsel to wife","unto his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"75","Gen","Gen 34:6","¶ And Hamor **the father[H1]** of Shechem went out unto Jacob to commune with","the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"76","Gen","Gen 34:11","And Shechem said **unto her father[H1]** and unto her brethren, Let me find grace in your eyes, and what ye shall say unto me I will give","unto her father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"77","Gen","Gen 34:13","And the sons of Jacob answered Shechem and Hamor **his father[H1]** deceitfully, and said, because he had defiled Dinah their sister","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"78","Gen","Gen 34:19","And the young man deferred not to do the thing, because he had delight in Jacob's daughter: and he was more honourable than all the house **of his father[H1]**","of his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"79","Gen","Gen 35:18","And it came to pass, as her soul was in departing, (for she died) that she called his name Ben-oni: **but his father[H1]** called him Benjamin","but his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"80","Gen","Gen 35:22","And it came to pass, when Israel dwelt in that land, that Reuben went and lay with Bilhah **his father's[H1]** concubine: and Israel heard it. Now the sons of Jacob were twelve","his fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"81","Gen","Gen 35:27","¶ And Jacob came unto Isaac **his father[H1]** unto Mamre, unto the city of Arbah, which is Hebron, where Abraham and Isaac sojourned","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"82","Gen","Gen 36:9","¶ And these are the generations of Esau **the father[H1]** of the Edomites in mount Seir","the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"83","Gen","Gen 36:24","And these are the children of Zibeon; both Ajah, and Anah: this was that Anah that found the mules in the wilderness, as he fed the asses of Zibeon **his father[H1]**","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"84","Gen","Gen 36:43","Duke Magdiel, duke Iram: these be the dukes of Edom, according to their habitations in the land of their possession: he is Esau **the father[H1]** of the Edomites","the father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"85","Gen","Gen 37:1","¶ And Jacob dwelt in the land **wherein his father[H1]** was a stranger, in the land of Canaan","wherein his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"86","Gen","Gen 37:2","These are the generations of Jacob. Joseph, being seventeen years old, was feeding the flock with his brethren; and the lad was with the sons of Bilhah, and with the sons of Zilpah, **his father's[H1]** wives: and Joseph brought **unto his father[H1]** their evil report","his fathers, unto his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"87","Gen","Gen 37:4","And when his brethren saw **that their father[H1]** loved him more than all his brethren, they hated him, and could not speak peaceably","that their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"88","Gen","Gen 37:10","And he told **it to his father[H1]**, and to his brethren: **and his father[H1]** rebuked him, and said unto him, What is this dream that thou hast dreamed? Shall I and thy mother and thy brethren indeed come to bow down ourselves to thee to the earth","it to his father, and his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"89","Gen","Gen 37:11","And his brethren envied **him; but his father[H1]** observed the saying","him but his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"90","Gen","Gen 37:12","¶ And his brethren went to feed **their father's[H1]** flock in Shechem","their fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"91","Gen","Gen 37:22","And Reuben said unto them, Shed no blood, but cast him into this pit that is in the wilderness, and lay no hand upon him; that he might rid him out of their hands, to deliver **him to his father[H1]** again","him to his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"92","Gen","Gen 37:32","And they sent the coat of many colours, and they brought **it to their father[H1]**; and said, This have we found: know now whether it be thy son's coat","it to their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"93","Gen","Gen 37:35","And all his sons and all his daughters rose up to comfort him; but he refused to be comforted; and he said, For I will go down into the grave unto my son mourning. **Thus his father[H1]** wept","Thus his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"94","Gen","Gen 38:11","Then said Judah to Tamar his daughter in law, Remain a widow **at thy father's[H1]** house, till Shelah my son be grown: for he said, Lest peradventure he die also, as his brethren did. And Tamar went and dwelt **in her father's[H1]** house","at thy fathers, in her fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"95","Gen","Gen 41:51","And Joseph called the name of the firstborn Manasseh: For God, said he, hath made me forget all my toil, **and all my father's[H1]** house","and all my fathers","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"96","Gen","Gen 42:13","And they said, Thy servants are twelve brethren, the sons of one man in the land of Canaan; and, behold, the youngest is this day **with our father[H1]**, and one","with our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"97","Gen","Gen 42:29","¶ And they came unto Jacob **their father[H1]** unto the land of Canaan, and told him all that befell unto them; saying","their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"98","Gen","Gen 42:32","We be twelve brethren, sons **of our father[H1]**; one is not, and the youngest is this day **with our father[H1]** in the land of Canaan","of our father, with our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"99","Gen","Gen 42:35","¶ And it came to pass as they emptied their sacks, that, behold, every man's bundle of money was in his sack: **and when both they and their father[H1]** saw the bundles of money, they were afraid","and when both they and their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"100","Gen","Gen 42:36","And Jacob **their father[H1]** said unto them, Me have ye bereaved of my children: Joseph is not, and Simeon is not, and ye will take Benjamin","their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"101","Gen","Gen 42:37","And Reuben spake **unto his father[H1]**, saying, Slay my two sons, if I bring him not to thee: deliver him into my hand, and I will bring him to thee again","unto his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"102","Gen","Gen 43:2","And it came to pass, when they had eaten up the corn which they had brought out of Egypt, **their father[H1]** said unto them, Go again, buy us a little food","their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"103","Gen","Gen 43:7","And they said, The man asked us straitly of our state, and of our kindred, saying, **Is your father[H1]** yet alive? have ye another brother? and we told him according to the tenor of these words: could we certainly know that he would say, Bring your brother down","Is your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"104","Gen","Gen 43:8","And Judah said unto Israel **his father[H1]**, Send the lad with me, and we will arise and go; that we may live, and not die, both we, and thou, and also our little ones","his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"105","Gen","Gen 43:11","**And their father[H1]** Israel said unto them, If it must be so now, do this; take of the best fruits in the land in your vessels, and carry down the man a present, a little balm, and a little honey, spices, and myrrh, nuts, and almonds","And their father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"106","Gen","Gen 43:23","And he said, Peace be to you, fear not: your God, and the God **of your father[H1]**, hath given you treasure in your sacks: I had your money. And he brought Simeon","of your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"107","Gen","Gen 43:27","And he asked them of their welfare, and said, **Is your father[H1]** well, the old man of whom ye spake? Is he yet alive","Is your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"108","Gen","Gen 43:28","And they answered, Thy servant **our father[H1]** is in good health, he is yet alive. And they bowed down their heads, and made obeisance","our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"109","Gen","Gen 44:17","And he said, God forbid that I should do so: but the man in whose hand the cup is found, he shall be my servant; and as for you, get you up in peace **unto your father[H1]**","unto your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"110","Gen","Gen 44:19","My lord asked his servants, saying, Have **ye a father[H1]**, or a brother","ye a father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"111","Gen","Gen 44:20","And we said unto my lord, We have **a father[H1]**, an old man, and a child of his old age, a little one; and his brother is dead, and he alone is left of his mother, **and his father[H1]** loveth","a father, and his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"112","Gen","Gen 44:22","And we said unto my lord, The lad cannot leave **his father[H1]**: for if he should leave **his father[H1]**, his father would die","his father, his father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"113","Gen","Gen 44:24","And it came to pass when we came up unto thy servant **my father[H1]**, we told him the words of my lord","my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"114","Gen","Gen 44:25","**And our father[H1]** said, Go again, and buy us a little food","And our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"115","Gen","Gen 44:27","And thy servant **my father[H1]** said unto us, Ye know that my wife bare me two","my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"116","Gen","Gen 44:30","Now therefore when I come to thy servant **my father[H1]**, and the lad be not with us; seeing that his life is bound up in the lad's life","my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"117","Gen","Gen 44:31","It shall come to pass, when he seeth that the lad is not with us, that he will die: and thy servants shall bring down the gray hairs of thy servant **our father[H1]** with sorrow to the grave","our father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"118","Gen","Gen 44:32","For thy servant became surety for the lad unto **my father[H1]**, saying, If I bring him not unto thee, then I shall bear the blame **to my father[H1]** for ever","my father, to my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"119","Gen","Gen 44:34","For how shall I go up **to my father[H1]**, and the lad be not with me? lest peradventure I see the evil that shall come on **my father[H1]**","to my father, my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"120","Gen","Gen 45:3","And Joseph said unto his brethren, I am Joseph; **doth my father[H1]** yet live? And his brethren could not answer him; for they were troubled at his presence","doth my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"121","Gen","Gen 45:8","So now it was not you that sent me hither, but God: and he hath made **me a father[H1]** to Pharaoh, and lord of all his house, and a ruler throughout all the land of Egypt","me a father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"122","Gen","Gen 45:9","Haste ye, and go up **to my father[H1]**, and say unto him, Thus saith thy son Joseph, God hath made me lord of all Egypt: come down unto me, tarry","to my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"123","Gen","Gen 45:13","And ye shall tell **my father[H1]** of all my glory in Egypt, and of all that ye have seen; and ye shall haste and bring down **my father[H1]**","my father, my father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
"124","Gen","Gen 45:18","And take **your father[H1]** and your households, and come unto me: and I will give you the good of the land of Egypt, and ye shall eat the fat of the land","your father","H1 אָב","ʼâb | awb","father, in a literal and immediate, or figurative and remote application"
